date,day_of_week,month,year,is_weekend,is_holiday,menu_item,units_sold,unit_price,revenue
2023-01-01,Sunday,1,2023,1,0,Biryani,160,350,56000
2023-01-01,Sunday,1,2023,1,0,Butter Chicken,114,320,36480
2023-01-01,Sunday,1,2023,1,0,Dal Makhani,79,220,17380
2023-01-01,Sunday,1,2023,1,0,Gulab Jamun,72,80,5760
2023-01-01,Sunday,1,2023,1,0,Mango Lassi,81,90,7290
2023-01-01,Sunday,1,2023,1,0,Masala Dosa,91,120,10920
2023-01-01,Sunday,1,2023,1,0,Naan,170,60,10200
2023-01-01,Sunday,1,2023,1,0,Paneer Tikka,79,280,22120
2023-01-02,Monday,1,2023,0,0,Biryani,83,350,29050
2023-01-02,Monday,1,2023,0,0,Butter Chicken,60,320,19200
2023-01-02,Monday,1,2023,0,0,Dal Makhani,37,220,8140
2023-01-02,Monday,1,2023,0,0,Gulab Jamun,28,80,2240
2023-01-02,Monday,1,2023,0,0,Mango Lassi,41,90,3690
2023-01-02,Monday,1,2023,0,0,Masala Dosa,43,120,5160
2023-01-02,Monday,1,2023,0,0,Naan,107,60,6420
2023-01-02,Monday,1,2023,0,0,Paneer Tikka,51,280,14280
2023-01-03,Tuesday,1,2023,0,0,Biryani,98,350,34300
2023-01-03,Tuesday,1,2023,0,0,Butter Chicken,70,320,22400
2023-01-03,Tuesday,1,2023,0,0,Dal Makhani,41,220,9020
2023-01-03,Tuesday,1,2023,0,0,Gulab Jamun,45,80,3600
2023-01-03,Tuesday,1,2023,0,0,Mango Lassi,45,90,4050
2023-01-03,Tuesday,1,2023,0,0,Masala Dosa,68,120,8160
2023-01-03,Tuesday,1,2023,0,0,Naan,152,60,9120
2023-01-03,Tuesday,1,2023,0,0,Paneer Tikka,62,280,17360
2023-01-04,Wednesday,1,2023,0,0,Biryani,94,350,32900
2023-01-04,Wednesday,1,2023,0,0,Butter Chicken,74,320,23680
2023-01-04,Wednesday,1,2023,0,0,Dal Makhani,52,220,11440
2023-01-04,Wednesday,1,2023,0,0,Gulab Jamun,41,80,3280
2023-01-04,Wednesday,1,2023,0,0,Mango Lassi,67,90,6030
2023-01-04,Wednesday,1,2023,0,0,Masala Dosa,67,120,8040
2023-01-04,Wednesday,1,2023,0,0,Naan,120,60,7200
2023-01-04,Wednesday,1,2023,0,0,Paneer Tikka,60,280,16800
2023-01-05,Thursday,1,2023,0,0,Biryani,120,350,42000
2023-01-05,Thursday,1,2023,0,0,Butter Chicken,79,320,25280
2023-01-05,Thursday,1,2023,0,0,Dal Makhani,42,220,9240
2023-01-05,Thursday,1,2023,0,0,Gulab Jamun,37,80,2960
2023-01-05,Thursday,1,2023,0,0,Mango Lassi,56,90,5040
2023-01-05,Thursday,1,2023,0,0,Masala Dosa,53,120,6360
2023-01-05,Thursday,1,2023,0,0,Naan,133,60,7980
2023-01-05,Thursday,1,2023,0,0,Paneer Tikka,52,280,14560
2023-01-06,Friday,1,2023,0,0,Biryani,146,350,51100
2023-01-06,Friday,1,2023,0,0,Butter Chicken,117,320,37440
2023-01-06,Friday,1,2023,0,0,Dal Makhani,65,220,14300
2023-01-06,Friday,1,2023,0,0,Gulab Jamun,57,80,4560
2023-01-06,Friday,1,2023,0,0,Mango Lassi,83,90,7470
2023-01-06,Friday,1,2023,0,0,Masala Dosa,86,120,10320
2023-01-06,Friday,1,2023,0,0,Naan,144,60,8640
2023-01-06,Friday,1,2023,0,0,Paneer Tikka,82,280,22960
2023-01-07,Saturday,1,2023,1,0,Biryani,154,350,53900
2023-01-07,Saturday,1,2023,1,0,Butter Chicken,112,320,35840
2023-01-07,Saturday,1,2023,1,0,Dal Makhani,64,220,14080
2023-01-07,Saturday,1,2023,1,0,Gulab Jamun,68,80,5440
2023-01-07,Saturday,1,2023,1,0,Mango Lassi,82,90,7380
2023-01-07,Saturday,1,2023,1,0,Masala Dosa,101,120,12120
2023-01-07,Saturday,1,2023,1,0,Naan,161,60,9660
2023-01-07,Saturday,1,2023,1,0,Paneer Tikka,63,280,17640
2023-01-08,Sunday,1,2023,1,0,Biryani,154,350,53900
2023-01-08,Sunday,1,2023,1,0,Butter Chicken,97,320,31040
